acc_x_raw,acc_y_raw,acc_z_raw,acc_x [g],acc_y [g],acc_z [g],gyro_x_raw,gyro_y_raw,gyro_z_raw,gyro_x [deg/s],gyro_y [deg/s],gyro_z [deg/s],row [deg],pitch [deg],yaw [deg]
-25,160,2127,-0.012213,0.078163,1.039082,-7,-37,-8,-0.437500,-2.312500,-0.500000,4.301581,-0.671506,85.646126
-27,160,2129,-0.013190,0.078163,1.040059,-1,-44,-28,-0.062500,-2.750000,-1.750000,4.297506,-0.724544,85.641617
-30,161,2124,-0.014656,0.078652,1.037616,51,-28,93,3.187500,-1.750000,5.812500,4.334321,-0.806894,85.590927
-22,162,2122,-0.010747,0.079140,1.036639,38,-116,4,2.375000,-7.250000,0.250000,4.365434,-0.592274,85.594414
-27,160,2120,-0.013190,0.078163,1.035662,52,-93,16,3.250000,-5.812500,1.000000,4.315679,-0.727602,85.623184
-26,164,2117,-0.012702,0.080117,1.034196,24,-63,-41,1.500000,-3.937500,-2.562500,4.429416,-0.701543,85.515152
-26,162,2129,-0.012702,0.079140,1.040059,40,-8,88,2.500000,-0.500000,5.500000,4.351046,-0.697662,85.593163
-27,163,2129,-0.013190,0.079629,1.040059,36,-89,42,2.250000,-5.562500,2.625000,4.377774,-0.724467,85.562454
-26,162,2128,-0.012702,0.079140,1.039570,58,-68,113,3.625000,-4.250000,7.062500,4.353082,-0.697988,85.591103
-27,166,2124,-0.013190,0.081094,1.037616,43,-170,4,2.687500,-10.625000,0.250000,4.468475,-0.726083,85.472679
-26,164,2127,-0.012702,0.080117,1.039082,51,-65,24,3.187500,-4.062500,1.500000,4.408677,-0.698264,85.536156
-26,163,2122,-0.012702,0.079629,1.036639,49,7,-13,3.062500,0.437500,-0.812500,4.392183,-0.699925,85.552185
-25,161,2127,-0.012213,0.078652,1.039082,23,-24,26,1.437500,-1.500000,1.625000,4.328364,-0.671482,85.619667
-25,164,2124,-0.012213,0.080117,1.037616,14,-153,19,0.875000,-9.562500,1.187500,4.414903,-0.672353,85.533989
-27,159,2125,-0.013190,0.077675,1.038105,17,-16,-37,1.062500,-1.000000,-2.312500,4.278755,-0.725925,85.659874
-26,165,2126,-0.012702,0.080606,1.038593,38,-79,8,2.375000,-4.937500,0.500000,4.437530,-0.698566,85.507607
-27,159,2125,-0.013190,0.077675,1.038105,0,-107,25,0.000000,-6.687500,1.562500,4.278755,-0.725925,85.659874
-27,164,2126,-0.013190,0.080117,1.038593,31,-13,1,1.937500,-0.812500,0.062500,4.410716,-0.725457,85.529785
-22,162,2124,-0.010747,0.079140,1.037616,16,-52,-20,1.000000,-3.250000,-1.250000,4.361340,-0.591719,85.598549
-23,159,2128,-0.011236,0.077675,1.039570,8,-105,56,0.500000,-6.562500,3.500000,4.272840,-0.617523,85.682602
-29,160,2129,-0.014167,0.078163,1.040059,77,-100,46,4.812500,-6.250000,2.875000,4.297453,-0.778207,85.632393
-22,163,2122,-0.010747,0.079629,1.036639,61,-76,-82,3.812500,-4.750000,-5.125000,4.392276,-0.592253,85.567818
-25,160,2124,-0.012213,0.078163,1.037616,46,22,92,2.875000,1.375000,5.750000,4.307633,-0.672449,85.639999
-28,160,2120,-0.013679,0.078163,1.035662,33,54,-49,2.062500,3.375000,-3.062500,4.315652,-0.754547,85.618637
-23,164,2127,-0.011236,0.080117,1.039082,14,-75,110,0.875000,-4.687500,6.875000,4.408748,-0.617702,85.548019
-24,164,2126,-0.011724,0.080117,1.038593,2,1,-85,0.125000,0.062500,-5.312500,4.410790,-0.644858,85.542137
-25,162,2122,-0.012213,0.079140,1.036639,33,32,38,2.062500,2.000000,2.375000,4.365366,-0.673031,85.582855
-29,161,2124,-0.014167,0.078652,1.037616,32,64,-41,2.000000,4.000000,-2.562500,4.334350,-0.780001,85.595764
-20,158,2123,-0.009770,0.077186,1.037127,2,105,-48,0.125000,6.562500,-3.000000,4.256088,-0.538258,85.709885
-24,160,2122,-0.011724,0.078163,1.036639,17,87,5,1.062500,5.437500,0.312500,4.311700,-0.646158,85.639969
-19,161,2128,-0.009282,0.078652,1.039570,-9,30,-89,-0.562500,1.875000,-5.562500,4.326463,-0.510098,85.643456
-28,163,2121,-0.013679,0.079629,1.036150,-4,-64,13,-0.250000,-4.000000,0.812500,4.394193,-0.754113,85.541321
-24,163,2126,-0.011724,0.079629,1.038593,11,-63,8,0.687500,-3.937500,0.500000,4.384001,-0.644881,85.568642
-23,161,2131,-0.011236,0.078652,1.041036,16,-66,-5,1.000000,-4.125000,-0.312500,4.320317,-0.616615,85.635735
-24,166,2119,-0.011724,0.081094,1.035173,19,-17,-3,1.187500,-1.062500,-0.187500,4.479051,-0.646928,85.474281
-24,159,2123,-0.011724,0.077675,1.037127,17,-84,5,1.062500,-5.250000,0.312500,4.282842,-0.645879,85.668549
-24,161,2128,-0.011724,0.078652,1.039570,36,-129,8,2.250000,-8.062500,0.500000,4.326361,-0.644324,85.625740
-20,164,2125,-0.009770,0.080117,1.038105,9,-73,61,0.562500,-4.562500,3.812500,4.412943,-0.537640,85.554298
-19,160,2124,-0.009282,0.078163,1.037616,10,-56,-73,0.625000,-3.500000,-4.562500,4.307758,-0.511071,85.661919
-25,164,2130,-0.012213,0.080117,1.040547,11,7,37,0.687500,0.437500,2.312500,4.402517,-0.670471,85.546524
-27,165,2120,-0.013190,0.080606,1.035662,3,78,-99,0.187500,4.875000,-6.187500,4.450010,-0.727471,85.490685
-23,162,2125,-0.011236,0.079140,1.038105,5,62,-17,0.312500,3.875000,-1.062500,4.359274,-0.618324,85.596924
-27,166,2120,-0.013190,0.081094,1.035662,16,146,2,1.000000,9.125000,0.125000,4.476871,-0.727445,85.464172
-25,161,2126,-0.012213,0.078652,1.038593,17,66,-33,1.062500,4.125000,-2.062500,4.330392,-0.671797,85.617615
-24,162,2128,-0.011724,0.079140,1.039570,-26,47,0,-1.625000,2.937500,0.000000,4.353130,-0.644301,85.599266
-25,162,2124,-0.012213,0.079140,1.037616,38,19,6,2.375000,1.187500,0.375000,4.361272,-0.672401,85.586998
-26,167,2130,-0.012702,0.081583,1.040547,39,-28,42,2.437500,-1.750000,2.625000,4.482701,-0.697211,85.463181
-23,161,2128,-0.011236,0.078652,1.039570,14,-108,-31,0.875000,-6.750000,-1.937500,4.326384,-0.617480,85.629608
-22,163,2128,-0.010747,0.079629,1.039570,33,-100,88,2.062500,-6.250000,5.500000,4.379941,-0.590593,85.580269
-27,162,2127,-0.013190,0.079140,1.039082,-6,-52,55,-0.375000,-3.250000,3.437500,4.355095,-0.725170,85.584717
-28,168,2124,-0.013679,0.082071,1.037616,42,-56,2,2.625000,-3.500000,0.125000,4.522063,-0.752917,85.415428
-20,163,2125,-0.009770,0.079629,1.038105,55,-75,-27,3.437500,-4.687500,-1.687500,4.386140,-0.537659,85.580902
-29,167,2133,-0.014167,0.081583,1.042013,21,-54,-9,1.312500,-3.375000,-0.562500,4.476342,-0.776562,85.456528
