Elapse,Mag_raw_X,Mag_raw_Y,Mag_raw_Z
4.40200000000002,-83,-339,-109
5.35099999999988,-83,-339,-109
4.43900000000008,-83,-339,-109
5.31799999999993,-83,-339,-109
10.2599999999999,-83,-339,-109
1.34800000000013,-80,-338,-104
3.22800000000001,-83,-339,-105
5.40999999999991,-83,-339,-105
5.23000000000007,-83,-339,-105
4.20599999999993,-84,-340,-106
5.51699999999999,-84,-342,-102
6.23799999999997,-84,-342,-102
4.26199999999999,-84,-342,-102
5.32700000000008,-88,-340,-102
5.38100000000008,-91,-339,-103
4.18299999999983,-91,-339,-103
5.30600000000003,-91,-339,-103
5.38800000000017,-90,-342,-100
5.20699999999996,-89,-341,-107
4.23200000000001,-89,-341,-107
5.42699999999985,-89,-341,-107
5.24600000000008,-96,-342,-102
4.29600000000008,-95,-343,-101
5.31199999999998,-95,-343,-101
5.37999999999994,-83,-345,-101
4.16900000000009,-83,-345,-101
6.38099999999997,-92,-342,-100
5.36999999999987,-92,-342,-100
5.247,-95,-345,-101
4.25200000000014,-95,-345,-101
5.38499999999997,-91,-343,-103
5.25099999999989,-91,-343,-103
4.30299999999995,-93,-343,-103
5.41800000000014,-93,-343,-103
5.27699999999998,-93,-343,-103
4.18600000000002,-93,-347,-101
5.30399999999998,-95,-347,-95
5.35700000000006,-95,-347,-95
5.21299999999991,-95,-347,-95
4.22900000000004,-97,-349,-99
6.45099999999998,-100,-346,-96
5.26199999999988,-100,-346,-96
4.29200000000018,-100,-346,-96
5.42799999999999,-93,-351,-101
5.26300000000002,-95,-343,-99
4.19899999999984,-101,-349,-95
5.5130000000001,-101,-349,-95
5.158,-101,-349,-95
5.25200000000003,-99,-345,-99
4.26400000000005,-99,-345,-99
5.39999999999985,-105,-343,-101
5.27300000000008,-105,-343,-101
4.26100000000007,-102,-348,-96
5.41299999999989,-102,-348,-96
5.24300000000011,-106,-350,-94
5.26799999999983,-106,-350,-94
5.409,-105,-353,-93
5.26099999999996,-105,-353,-93
4.21100000000019,-99,-351,-93
5.32599999999994,-99,-351,-93
5.37199999999993,-96,-348,-94
5.61500000000015,-96,-348,-94
3.8959999999999,-105,-359,-97
5.63000000000002,-105,-359,-97
4.17500000000004,-105,-359,-97
5.29699999999989,-106,-352,-92
5.41300000000011,-107,-355,-91
5.22699999999987,-108,-354,-92
4.21899999999997,-108,-354,-92
6.49200000000016,-108,-354,-92
5.28799999999996,-112,-358,-94
4.25999999999993,-104,-358,-86
5.34000000000012,-104,-358,-86
5.39199999999984,-104,-358,-86
4.21400000000016,-103,-353,-99
5.32699999999986,-102,-354,-99
5.42100000000012,-102,-354,-94
4.17899999999993,-102,-354,-94
5.31199999999998,-103,-357,-91
5.56200000000007,-103,-357,-91
4.11899999999998,-111,-367,-87
5.36099999999995,-111,-367,-87
5.30800000000009,-116,-358,-90
5.4209999999999,-116,-358,-90
5.3160000000001,-108,-360,-88
5.28299999999993,-108,-360,-88
4.26100000000007,-107,-353,-85
5.24400000000003,-107,-353,-85
5.29000000000002,-110,-362,-84
5.39599999999996,-113,-363,-87
4.19799999999992,-113,-363,-87
5.36200000000009,-113,-363,-87
5.33199999999989,-109,-357,-87
4.29000000000013,-110,-360,-88
5.23999999999991,-110,-360,-88
5.33099999999997,-110,-360,-88
4.32199999999994,-109,-365,-83
5.23300000000004,-108,-356,-90
6.4010000000001,-108,-356,-90
4.57099999999988,-108,-356,-90
5.24100000000005,-112,-358,-90
5.36899999999996,-110,-362,-90
4.29900000000005,-110,-362,-90
5.27300000000008,-110,-362,-90
5.29199999999985,-107,-363,-85
4.24500000000005,-107,-363,-85
5.436,-110,-366,-86
5.25299999999995,-110,-366,-86
5.32100000000013,-110,-366,-86
4.30200000000003,-110,-366,-86
5.2439999999998,-106,-360,-92
5.46000000000002,-107,-363,-91
5.39500000000004,-107,-363,-91
5.24400000000003,-107,-363,-91
5.3129999999999,-110,-362,-84
4.32100000000002,-108,-362,-88
5.30300000000006,-108,-362,-88
5.29599999999997,-108,-362,-88
4.23600000000013,-112,-370,-84
5.49900000000014,-111,-371,-83
5.27899999999981,-111,-371,-83
4.30099999999989,-111,-371,-83
5.41299999999989,-113,-361,-83
5.26300000000024,-113,-367,-87
4.17600000000018,-113,-367,-87
5.40899999999978,-113,-367,-87
5.28100000000009,-117,-357,-85
5.31799999999993,-115,-361,-81
5.4240000000001,-115,-361,-81
5.28799999999974,-115,-363,-87
4.22199999999995,-115,-363,-87
5.44600000000006,-109,-367,-77
5.37100000000024,-109,-367,-77
4.1979999999997,-115,-363,-83
5.3160000000001,-115,-363,-83
5.54500000000013,-115,-363,-83
4.13400000000008,-117,-367,-77
5.32500000000002,-113,-375,-77
5.34599999999985,-113,-375,-77
5.37400000000021,-113,-375,-77
4.21799999999983,-109,-369,-77
5.41199999999975,-105,-365,-85
5.40100000000043,-105,-365,-85
5.22999999999962,-105,-365,-85
5.3160000000001,-107,-365,-83
5.38499999999997,-106,-370,-84
4.17000000000023,-106,-370,-84
5.31299999999968,-106,-370,-84
5.46800000000003,-110,-368,-80
5.04499999999997,-109,-373,-87
4.60500000000019,-109,-373,-87
5.01800000000019,-112,-370,-82
5.41999999999998,-112,-370,-82
4.11599999999979,-107,-375,-79
5.36000000000003,-107,-375,-79
4.61700000000009,-106,-370,-86
5.23300000000004,-106,-370,-86
6.37099999999968,-102,-368,-82
4.3230000000003,-102,-368,-82
5.23899999999999,-104,-370,-86
5.35499999999978,-104,-370,-86
5.41800000000014,-104,-370,-86
4.16699999999981,-110,-374,-84
5.30500000000034,-107,-371,-85
5.32299999999974,-107,-371,-85
4.31099999999995,-107,-371,-85
5.28600000000035,-102,-372,-84
5.32299999999974,-104,-372,-84
4.29000000000013,-104,-372,-84
5.24699999999978,-104,-372,-84
5.3270000000003,-110,-380,-88
5.47399999999998,-104,-374,-86
5.19099999999995,-105,-369,-85
5.274,-105,-369,-85
5.4059999999998,-105,-369,-85
4.24399999999991,-103,-371,-79
5.30500000000034,-103,-371,-79
5.40299999999982,-98,-374,-88
4.2819999999999,-98,-374,-88
5.26399999999994,-101,-377,-83
5.34900000000027,-101,-377,-83
4.28699999999971,-100,-382,-86
5.24900000000006,-100,-382,-86
5.28500000000021,-102,-384,-80
5.53399999999993,-102,-384,-80
4.05599999999984,-101,-377,-81
6.386,-101,-377,-81
4.30799999999998,-93,-383,-81
5.59300000000018,-93,-383,-81
5.2319999999999,-95,-383,-81
4.33600000000034,-95,-383,-81
5.4059999999998,-95,-383,-81
5.22499999999981,-100,-388,-80
4.21899999999997,-97,-385,-81
