Elapse,Mag_X,Mag_Y,Mag_Z
1.73000000000001,279,417,175
0.734000000000012,279,417,175
1.74199999999997,282,412,174
1.06800000000001,282,412,174
2.24299999999999,282,412,174
0.958999999999988,282,412,174
2.18700000000005,282,412,174
1.01999999999997,276,418,180
1.496,276,418,180
2.43500000000002,276,418,180
0.589999999999979,276,418,180
1.90699999999999,276,418,180
0.661000000000023,276,418,180
2.00800000000001,276,418,180
0.633999999999968,276,418,180
0.96400000000002,276,418,180
2.16,276,418,180
1.48399999999999,277,415,183
2.26200000000004,277,415,183
2.14599999999998,277,415,183
0.657000000000019,277,415,183
1.47999999999998,283,419,175
0.647999999999982,283,419,175
1.95899999999999,283,419,175
1.21900000000003,283,419,175
1.89899999999998,283,419,175
0.73200000000001,282,420,178
2.71399999999999,282,420,178
1.72600000000001,282,420,178
2.44,282,420,178
1.40699999999999,282,420,178
2.33500000000003,282,420,178
1.03999999999999,282,420,178
1.88300000000002,282,420,178
0.963999999999965,282,420,178
1.92700000000001,285,420,178
1.224,285,423,177
2.61899999999998,285,423,177
1.334,285,423,177
1.67899999999999,285,423,177
0.736000000000014,277,423,173
2.06899999999999,277,423,173
1.26000000000004,277,423,173
2.002,277,423,173
1.73699999999999,277,423,173
0.960000000000016,277,423,173
2.04899999999997,277,423,173
1.75199999999998,277,423,173
0.96099999999999,277,423,173
1.84700000000004,277,423,173
0.824999999999965,278,422,176
0.678000000000067,278,422,176
1.79399999999996,278,422,176
1.78599999999995,278,422,176
0.612000000000057,278,422,176
1.75000000000003,273,419,183
0.745999999999913,273,419,183
1.77400000000005,273,419,183
0.653000000000015,273,419,183
1.93199999999993,273,419,183
0.795000000000101,273,419,183
2.17599999999996,273,419,183
1.00800000000001,273,419,183
1.68299999999999,273,419,183
0.668000000000002,277,419,179
1.87400000000004,277,419,179
0.602999999999909,277,419,179
0.642000000000031,277,419,179
1.82499999999997,277,419,179
1.82199999999999,274,418,182
0.659000000000076,274,418,182
1.69900000000001,274,418,182
0.856999999999997,274,418,182
1.83699999999998,274,418,182
1.04899999999997,274,418,182
1.96300000000005,274,418,182
0.92099999999995,274,418,182
1.65700000000002,274,418,182
0.703000000000009,274,418,182
1.85900000000006,281,417,177
0.813999999999981,281,417,177
1.76500000000002,281,417,177
0.766999999999962,281,417,177
1.81699999999996,282,417,177
0.852999999999993,282,418,180
1.772,282,418,180
0.950000000000006,282,418,180
2.02200000000008,282,418,180
1.12199999999996,282,418,180
1.53199999999998,282,418,180
2.49600000000005,282,418,180
2.18299999999993,282,418,180
0.719000000000025,282,418,180
1.59299999999996,282,418,178
0.648000000000093,282,418,178
0.735999999999959,282,418,178
2.00800000000001,282,418,178
1.95900000000004,282,418,178
0.952999999999982,275,421,175
1.73499999999993,275,421,175
0.717000000000079,275,421,175
1.90799999999991,275,421,175
1.058,275,421,175
2.12200000000007,281,417,179
1.973,281,417,179
0.657999999999936,281,417,179
1.614,281,417,179
0.751999999999975,281,417,179
2.02300000000011,281,417,179
0.751999999999975,281,417,179
2.40099999999999,281,417,179
0.736999999999988,281,417,179
1.90100000000004,278,420,178
1.00099999999992,278,420,178
2.14200000000009,278,420,178
2.00399999999989,278,420,178
0.721000000000083,278,420,178
1.84499999999999,281,427,183
0.618000000000007,281,427,183
1.81399999999998,281,427,183
1.83599999999995,281,427,183
0.937999999999994,281,427,183
1.91400000000008,281,427,183
0.657999999999936,281,427,183
1.98600000000004,281,427,183
2.525,281,427,183
0.638000000000027,281,427,183
1.69699999999995,278,422,180
0.647000000000064,278,422,180
0.606999999999913,278,422,180
2.12699999999999,278,422,180
1.87300000000001,281,417,180
1.21500000000008,281,417,185
2.20299999999995,281,417,185
0.734000000000012,281,417,185
1.73100000000004,281,417,185
1.82099999999996,281,417,185
0.888,281,417,185
