Elapse,Mag_X,Mag_Y,Mag_Z
3.12299999999999,-36.5,71.166664,-8.166667
4.23799999999996,-36.5,71.166664,-8.166667
2.224,-38,70,-8.333333
4.22299999999998,-38,70,-8.333333
3.12800000000002,-38,70,-8.333333
4.28800000000007,-37,70.333336,-8.666667
2.40099999999999,-37,70.333336,-8.666667
3.97499999999995,-37.333332,71,-9.333333
3.27900000000003,-37.333332,71,-9.333333
4.19199999999997,-36.5,70.833336,-9.166667
4.25300000000006,-36.5,70.833336,-9.166667
2.4789999999999,-36.5,70.833336,-9.166667
3.8450000000001,-36.5,70.833336,-9.166667
3.36299999999989,-38.166668,71.833336,-7.833333
4.19400000000003,-38.166668,71.833336,-7.833333
2.26800000000005,-37,70.333336,-8.666667
4.10699999999997,-37,70.333336,-8.666667
3.25799999999998,-37,70.333336,-8.666667
4.247,-37,70.333336,-8.666667
3.15500000000002,-38.666668,70.333336,-9
3.19800000000003,-38.666668,70.333336,-9
3.12899999999994,-38.166668,70.5,-8.5
4.34100000000004,-38.166668,70.5,-8.5
3.14199999999998,-38.166668,70.5,-8.5
4.26300000000002,-38.166668,70.5,-8.5
2.51199999999996,-37.833332,71.5,-8.5
3.81399999999998,-37.833332,71.5,-8.5
3.36900000000007,-38.333332,71,-8.666667
4.18299999999994,-38.333332,71,-8.666667
2.30300000000006,-38.333332,71,-8.666667
4.07299999999999,-38.333332,71,-8.666667
3.18099999999999,-38.166668,71.5,-8.833333
4.34200000000007,-38.166668,71.5,-8.833333
3.12899999999994,-38.5,71.5,-9.5
3.19000000000003,-38.5,71.5,-9.5
3.17499999999993,-38.5,71.166664,-8.5
4.34200000000007,-38.5,71.166664,-8.5
3.14300000000001,-38.5,71.166664,-8.5
4.23600000000002,-38.5,71.166664,-8.5
2.38299999999991,-38.666668,71,-8.333333
3.96600000000003,-38.666668,71,-8.333333
3.26900000000008,-38.333332,71.666664,-7.333333
4.27,-38.333332,71.666664,-7.333333
3.15899999999991,-38.333332,71.666664,-7.333333
3.15399999999999,-38.333332,71.666664,-7.333333
4.25500000000001,-39.166668,70.833336,-8.833333
3.26700000000002,-39.166668,70.833336,-8.833333
4.20500000000001,-39.166668,71.833336,-8.5
2.53599999999998,-39.166668,71.833336,-8.5
3.85500000000005,-39.166668,71.833336,-8.5
3.22199999999995,-39.166668,71.833336,-8.5
4.30799999999998,-38.5,72.166664,-8.5
3.13000000000008,-38.5,72.166664,-8.5
3.166,-38.333332,71.333336,-9
3.17599999999996,-38.333332,71.333336,-9
4.33799999999995,-38.333332,71.333336,-9
3.2040000000001,-38.333332,71.333336,-9
3.17999999999996,-38.833332,70.833336,-8.833333
3.15799999999999,-38.833332,70.833336,-8.833333
4.26400000000005,-39.666668,71.666664,-9
4.332,-39.666668,71.666664,-9
3.12299999999999,-39.666668,71.666664,-9
3.19599999999998,-39.666668,71.666664,-9
3.15399999999999,-38.5,70.166664,-8.5
4.26199999999999,-39.166668,70.166664,-8.5
3.26800000000005,-39.166668,70.5,-8.5
4.22599999999995,-38.666668,71,-8
2.51000000000001,-38.666668,71,-8
3.80599999999998,-38.666668,71,-8
3.22600000000006,-38.666668,71,-8
4.35699999999994,-38.666668,71.666664,-9.333333
2.60199999999999,-38.666668,71.666664,-9.333333
3.67600000000001,-39.166668,71.5,-8.833333
